year,cons,govt,inv,netex,gdp
1994,268441.6,75374,148178.6,9543.5,501537.7
1995,274165,78735.6,153162.1,6479.1,512541.8
1996,280007.7,81228,162291.1,2280.1,525806.9
1997,285192,83323.8,159981,5645.8,534142.6
1998,283489.6,84271,150525,9591.3,527876.9
1999,284793.6,85856.4,140923.4,8078.3,519651.7
2000,286588.7,88760.7,143828.3,7528.3,526706
2001,288932.6,91707.3,138912.8,3452.2,523004.9
2002,288263.7,93533.5,127219.01,6970.1,515986.31
2003,287150.1,93768.7,125743.5,8738.4,515400.7
2004,289275.2,94310,126847.9,10532.4,520965.5
2005,291543.2,94958.3,129720.1,7911.3,524132.9
2006,294443.8,94590.2,130395.5,7450.2,526879.7
2007,296034.5,95414.7,130175.6,10063.4,531688.2
2008,294952.5,95600.5,127824.5,2338.3,520715.8
2009,286312.7,96111.8,104379.6,2696.8,489500.9
2010,288956.4,97527,106562.8,7307.7,500353.9
2011,286254.9,99204.5,108617.5,-2668.4,491408.5
2012,290241.7,100240.9,112129.7,-7655.1,494957.2
2013,296672.6,101469.2,116691,-11657.2,503175.6
2014,300083.2,103561.6,122899.1,-12667.9,513876
2015,301210.6,105297,127704.8,-2226.7,531985.7
2016,299858.7,106473.9,126880.9,5232.2,538445.7
