yeduc,income,lincome,lyeduc
9,100,4.60517,2.197225
9,50,3.912023,2.197225
9,150,5.010635,2.197225
9,200,5.298317,2.197225
9,150,5.010635,2.197225
9,200,5.298317,2.197225
9,100,4.60517,2.197225
9,100,4.60517,2.197225
9,150,5.010635,2.197225
9,150,5.010635,2.197225
9,256.25,5.546154,2.197225
9,6.25,1.832582,2.197225
9,106.25,4.665795,2.197225
9,6.25,1.832582,2.197225
9,156.25,5.051457,2.197225
9,225,5.416101,2.197225
9,125,4.828314,2.197225
9,100,4.60517,2.197225
9,200,5.298317,2.197225
9,50,3.912023,2.197225
9,100,4.60517,2.197225
9,150,5.010635,2.197225
9,150,5.010635,2.197225
9,200,5.298317,2.197225
9,50,3.912023,2.197225
9,250,5.521461,2.197225
9,250,5.521461,2.197225
9,100,4.60517,2.197225
9,350,5.857933,2.197225
9,300,5.703783,2.197225
9,300,5.703783,2.197225
9,300,5.703783,2.197225
9,100,4.60517,2.197225
9,150,5.010635,2.197225
9,150,5.010635,2.197225
9,100,4.60517,2.197225
9,106.25,4.665795,2.197225
9,100,4.60517,2.197225
9,350,5.857933,2.197225
9,150,5.010635,2.197225
9,175,5.164786,2.197225
9,250,5.521461,2.197225
9,250,5.521461,2.197225
9,250,5.521461,2.197225
9,250,5.521461,2.197225
9,300,5.703783,2.197225
9,200,5.298317,2.197225
9,250,5.521461,2.197225
9,250,5.521461,2.197225
9,200,5.298317,2.197225
9,350,5.857933,2.197225
9,350,5.857933,2.197225
9,350,5.857933,2.197225
9,300,5.703783,2.197225
9,300,5.703783,2.197225
9,350,5.857933,2.197225
9,300,5.703783,2.197225
9,400,5.991465,2.197225
9,300,5.703783,2.197225
9,450,6.109248,2.197225
9,350,5.857933,2.197225
9,400,5.991465,2.197225
9,350,5.857933,2.197225
9,400,5.991465,2.197225
11,150,5.010635,2.397895
11,50,3.912023,2.397895
11,250,5.521461,2.397895
11,100,4.60517,2.397895
11,200,5.298317,2.397895
11,150,5.010635,2.397895
11,25,3.218876,2.397895
11,106.25,4.665795,2.397895
11,56.25,4.029806,2.397895
11,6.25,1.832582,2.397895
11,156.25,5.051457,2.397895
11,125,4.828314,2.397895
11,225,5.416101,2.397895
11,125,4.828314,2.397895
11,50,3.912023,2.397895
11,225,5.416101,2.397895
11,75,4.317488,2.397895
11,225,5.416101,2.397895
11,300,5.703783,2.397895
11,250,5.521461,2.397895
11,100,4.60517,2.397895
11,150,5.010635,2.397895
11,250,5.521461,2.397895
11,300,5.703783,2.397895
11,200,5.298317,2.397895
11,75,4.317488,2.397895
11,150,5.010635,2.397895
11,300,5.703783,2.397895
11,50,3.912023,2.397895
11,56.25,4.029806,2.397895
11,75,4.317488,2.397895
11,250,5.521461,2.397895
11,150,5.010635,2.397895
11,250,5.521461,2.397895
11,100,4.60517,2.397895
11,200,5.298317,2.397895
11,106.25,4.665795,2.397895
11,200,5.298317,2.397895
11,106.25,4.665795,2.397895
11,250,5.521461,2.397895
11,200,5.298317,2.397895
11,250,5.521461,2.397895
11,100,4.60517,2.397895
11,250,5.521461,2.397895
11,250,5.521461,2.397895
11,250,5.521461,2.397895
11,350,5.857933,2.397895
11,200,5.298317,2.397895
11,350,5.857933,2.397895
11,200,5.298317,2.397895
11,200,5.298317,2.397895
11,125,4.828314,2.397895
11,850,6.745236,2.397895
11,300,5.703783,2.397895
11,400,5.991465,2.397895
11,350,5.857933,2.397895
11,175,5.164786,2.397895
11,350,5.857933,2.397895
11,350,5.857933,2.397895
11,300,5.703783,2.397895
11,250,5.521461,2.397895
11,200,5.298317,2.397895
11,250,5.521461,2.397895
11,250,5.521461,2.397895
11,200,5.298317,2.397895
11,350,5.857933,2.397895
11,300,5.703783,2.397895
11,200,5.298317,2.397895
11,200,5.298317,2.397895
11,300,5.703783,2.397895
11,250,5.521461,2.397895
11,300,5.703783,2.397895
11,200,5.298317,2.397895
11,200,5.298317,2.397895
11,200,5.298317,2.397895
11,200,5.298317,2.397895
11,250,5.521461,2.397895
11,350,5.857933,2.397895
11,350,5.857933,2.397895
11,400,5.991465,2.397895
11,450,6.109248,2.397895
11,250,5.521461,2.397895
11,300,5.703783,2.397895
11,350,5.857933,2.397895
11,350,5.857933,2.397895
11,950,6.856462,2.397895
11,250,5.521461,2.397895
11,250,5.521461,2.397895
11,500,6.214608,2.397895
11,400,5.991465,2.397895
11,350,5.857933,2.397895
11,275,5.616771,2.397895
11,400,5.991465,2.397895
11,300,5.703783,2.397895
11,1375,7.226209,2.397895
11,850,6.745236,2.397895
11,1275,7.150702,2.397895
12,150,5.010635,2.484907
12,150,5.010635,2.484907
12,150,5.010635,2.484907
12,150,5.010635,2.484907
12,25,3.218876,2.484907
12,50,3.912023,2.484907
12,350,5.857933,2.484907
12,150,5.010635,2.484907
12,100,4.60517,2.484907
12,350,5.857933,2.484907
12,25,3.218876,2.484907
12,200,5.298317,2.484907
12,100,4.60517,2.484907
12,200,5.298317,2.484907
12,50,3.912023,2.484907
12,150,5.010635,2.484907
12,200,5.298317,2.484907
12,50,3.912023,2.484907
12,50,3.912023,2.484907
12,50,3.912023,2.484907
12,250,5.521461,2.484907
12,200,5.298317,2.484907
12,25,3.218876,2.484907
12,200,5.298317,2.484907
12,100,4.60517,2.484907
12,200,5.298317,2.484907
12,100,4.60517,2.484907
12,100,4.60517,2.484907
12,150,5.010635,2.484907
12,50,3.912023,2.484907
12,250,5.521461,2.484907
12,150,5.010635,2.484907
12,100,4.60517,2.484907
12,250,5.521461,2.484907
12,150,5.010635,2.484907
12,100,4.60517,2.484907
12,50,3.912023,2.484907
12,100,4.60517,2.484907
12,150,5.010635,2.484907
12,200,5.298317,2.484907
12,200,5.298317,2.484907
12,100,4.60517,2.484907
12,200,5.298317,2.484907
12,100,4.60517,2.484907
12,50,3.912023,2.484907
12,250,5.521461,2.484907
12,250,5.521461,2.484907
12,250,5.521461,2.484907
12,250,5.521461,2.484907
12,100,4.60517,2.484907
12,150,5.010635,2.484907
12,350,5.857933,2.484907
12,6.25,1.832582,2.484907
12,25,3.218876,2.484907
12,50,3.912023,2.484907
12,50,3.912023,2.484907
12,50,3.912023,2.484907
12,100,4.60517,2.484907
12,100,4.60517,2.484907
12,250,5.521461,2.484907
12,200,5.298317,2.484907
12,250,5.521461,2.484907
12,100,4.60517,2.484907
12,100,4.60517,2.484907
12,50,3.912023,2.484907
12,200,5.298317,2.484907
12,200,5.298317,2.484907
12,100,4.60517,2.484907
12,250,5.521461,2.484907
12,50,3.912023,2.484907
12,150,5.010635,2.484907
12,6.25,1.832582,2.484907
12,200,5.298317,2.484907
12,250,5.521461,2.484907
12,150,5.010635,2.484907
12,250,5.521461,2.484907
12,150,5.010635,2.484907
12,6.25,1.832582,2.484907
12,50,3.912023,2.484907
12,200,5.298317,2.484907
12,200,5.298317,2.484907
12,150,5.010635,2.484907
12,25,3.218876,2.484907
12,250,5.521461,2.484907
12,25,3.218876,2.484907
12,50,3.912023,2.484907
12,200,5.298317,2.484907
12,200,5.298317,2.484907
12,100,4.60517,2.484907
12,100,4.60517,2.484907
12,100,4.60517,2.484907
12,100,4.60517,2.484907
12,200,5.298317,2.484907
12,50,3.912023,2.484907
