commute,sleep
0,330
0,325
0,352.5
0,405
0,330
0,375
0,360
0,375
0,350
0,412.5
0,445
0,400
0,400
0,405
0,375
0,390
0,390
0,375
0,495
0,390
0,390
0,390
0,370
0,390
0,412.5
0,435
0,395
0,412.5
0,340
0,510
0,405
0,360
0,360
0,405
0,435
0,375
0,420
0,450
0,510
0,450
0,420
0,410
0,455
0,380
0,412.5
0,412.5
0,417.5
0,450
0,395
0,465
0,420
0,435
0,405
0,420
0,420
0,435
0,390
0,480
0,450
0,390
0,420
0,435
0,390
0,420
0,420
0,375
0,420
0,435
0,472.5
0,375
0,435
0,435
0,360
0,465
0,390
0,450
0,435
0,425
0,440
0,457.5
0,460
0,435
0,420
0,450
0,450
0,420
0,450
0,445
0,405
0,435
0,375
0,457.5
0,435
0,415
0,420
0,465
0,435
0,405
0,405
0,435
0,435
0,450
0,510
0,420
0,450
0,495
0,457.5
0,465
0,510
0,440
0,405
0,480
0,435
0,497.5
0,465
0,510
0,435
0,495
0,435
0,430
0,465
0,435
0,440
0,420
0,435
0,455
0,465
0,450
0,465
0,510
0,475
0,510
0,465
0,445
0,510
0,450
0,457.5
0,450
0,490
0,510
0,510
0,480
0,510
0,465
0,485
0,495
0,540
15,315
15,300
15,330
15,285
15,390
15,337.5
15,310
15,330
15,315
15,315
15,345
15,305
15,375
15,355
15,315
15,405
15,395
15,365
15,335
15,320
15,325
15,280
15,370
15,370
15,385
15,365
15,375
15,375
15,410
15,360
15,390
15,390
15,360
15,405
15,360
15,380
15,375
15,345
15,345
15,345
15,375
15,405
15,345
15,345
15,330
15,360
15,330
15,390
15,360
15,375
15,435
15,405
15,375
15,360
15,390
15,420
15,315
15,420
15,390
15,420
15,352.5
15,390
15,450
15,335
15,395
15,330
15,367.5
15,400
15,445
15,315
15,360
15,390
15,405
15,345
15,315
15,392.5
15,405
15,420
15,412.5
15,345
15,390
15,375
15,375
15,360
15,352.5
15,370
15,405
15,405
15,345
15,315
15,435
15,405
15,435
15,360
15,375
15,390
15,420
15,405
15,410
15,420
15,375
15,375
15,345
15,345
15,412
15,420
15,345
15,405
15,375
15,285
15,360
15,405
15,375
15,345
15,360
15,375
15,385
15,360
15,420
15,385
15,375
15,380
15,410
15,372.5
15,395
15,365
15,455
15,365
15,380
15,377.5
15,307.5
15,337.5
15,437.5
15,397.5
15,407.5
15,307.5
15,367.5
15,380
15,415
15,385
15,355
15,355
15,375
15,372.5
15,420
15,390
15,450
15,360
15,435
15,375
15,420
15,405
15,450
15,375
15,375
15,375
15,405
15,345
15,400
15,415
15,330
15,345
15,450
15,367.5
15,375
15,390
15,390
15,390
15,420
15,405
15,405
15,430
15,420
15,435
15,375
15,390
15,375
15,385
15,405
15,390
15,390
15,390
15,400
15,375
15,415
15,390
15,380
15,330
15,330
15,405
15,360
15,390
15,375
15,435
15,405
15,390
15,390
15,360
15,365
15,450
15,420
15,360
15,390
15,412.5
15,385
15,405
15,390
15,405
15,390
15,405
15,385
15,375
15,405
15,420
15,360
15,375
15,360
15,345
15,405
15,375
15,380
15,420
15,435
15,375
15,405
15,375
15,420
15,405
15,397.5
15,420
15,390
15,435
15,405
15,375
15,405
15,405
15,420
15,390
15,382.5
15,400
15,360
15,420
15,405
15,390
15,390
15,390
15,385
15,390
15,420
15,375
15,360
15,390
15,360
15,405
15,385
15,345
