income,abe
0,25
0,10
0,25
0,35
0,20
0,20
0,30
0,30
0,10
0,25
0,15
0,20
0,30
0,15
0,30
0,0
0,0
0,25
0,20
0,25
0,0
0,25
0,20
0,25
0,25
0,40
0,10
0,25
0,25
0,15
0,25
0,5
0,15
0,20
0,30
0,30
0,30
0,25
0,30
0,15
0,5
0,20
0,30
0,5
0,30
0,25
0,15
0,10
0,40
0,5
0,30
0,25
0,10
0,30
0,20
0,10
0,10
0,35
0,40
0,35
0,35
0,30
0,30
0,40
0,15
0,50
0,40
0,35
0,25
0,35
0,35
0,35
0,35
0,45
0,35
0,45
0,35
0,10
0,30
0,35
0,30
0,20
0,35
0,45
0,40
0,40
0,40
0,50
0,55
0,40
0,55
0,40
0,50
0,55
0,20
0,50
0,40
0,40
0,50
0,45
0,40
0,15
0,40
0,45
0,50
0,50
0,20
0,25
0,35
0,30
0,55
0,35
0,40
0,40
0,40
0,40
0,50
0,35
0,50
0,40
0,45
0,15
0,40
0,40
0,25
0,45
0,50
0,35
0,45
0,50
0,55
0,35
0,40
0,40
0,45
0,30
0,60
0,40
0,20
0,50
0,45
0,45
0,45
0,60
0,45
0,20
0,60
0,40
0,45
0,50
0,45
0,45
0,35
0,45
0,45
0,35
0,45
0,35
0,45
0,20
0,30
0,45
0,40
0,35
0,45
0,45
0,50
0,45
0,25
0,60
0,45
0,45
0,40
0,45
0,40
0,40
0,40
0,50
0,60
0,45
0,50
0,45
0,45
0,45
0,45
0,45
0,60
0,40
0,45
0,45
0,30
0,50
0,45
0,55
0,55
0,25
0,50
0,70
0,50
0,45
0,35
0,45
0,50
0,55
0,35
0,45
0,40
0,50
0,75
0,25
0,60
0,50
0,55
0,50
0,25
0,25
0,60
0,50
0,50
0,55
0,40
0,50
0,25
0,50
0,60
0,60
0,55
0,40
0,50
0,55
0,50
0,40
0,25
0,35
0,65
0,45
0,35
0,35
0,25
0,50
0,50
0,60
0,45
0,40
0,40
0,50
0,60
0,50
0,45
0,45
0,45
0,50
0,35
0,40
0,45
0,25
0,50
0,50
0,60
0,40
0,30
0,45
0,50
0,65
0,45
0,40
0,30
0,50
0,35
0,50
0,50
0,50
0,55
0,50
0,50
0,50
0,55
0,50
0,50
0,45
0,55
0,50
0,50
0,40
0,50
0,45
0,45
0,45
0,45
0,50
0,50
0,50
0,50
0,50
0,35
0,50
0,60
0,50
0,50
0,50
0,70
0,50
0,50
0,35
0,60
0,35
0,55
0,40
0,35
0,25
0,50
0,65
0,55
0,50
0,50
0,35
0,40
0,45
0,50
0,50
0,50
0,50
0,45
0,45
0,50
0,65
0,50
0,40
0,60
0,50
0,60
0,50
0,30
0,50
0,50
0,50
0,50
0,50
0,50
0,45
0,45
0,55
0,50
0,50
0,50
0,55
0,65
0,30
0,50
0,55
0,40
0,65
0,35
0,50
0,55
0,50
0,55
0,50
0,30
0,55
0,50
0,60
0,40
0,45
0,45
0,50
0,40
0,55
0,50
0,50
0,30
0,40
0,50
0,55
0,50
0,45
0,50
0,55
0,50
0,50
0,40
0,40
0,50
0,60
0,40
0,35
0,50
0,55
0,50
0,45
0,60
0,50
0,30
0,30
0,45
0,30
0,40
0,25
0,55
0,50
0,55
0,40
0,50
0,25
0,25
0,45
0,55
0,45
0,55
0,45
0,55
0,50
0,55
0,55
0,55
