exper,exper2,yeduc,income,lincome
7,49,9,100,4.60517
8,64,9,150,5.010635
8,64,9,150,5.010635
10,100,9,200,5.298317
10,100,9,300,5.703783
11,121,9,150,5.010635
12,144,9,200,5.298317
13,169,9,12.5,2.525729
14,196,9,300,5.703783
14,196,9,300,5.703783
15,225,9,106.25,4.665795
15,225,9,106.25,4.665795
16,256,9,150,5.010635
16,256,9,100,4.60517
16,256,9,300,5.703783
17,289,9,50,3.912023
17,289,9,150,5.010635
17,289,9,150,5.010635
17,289,9,125,4.828314
17,289,9,200,5.298317
17,289,9,200,5.298317
18,324,9,150,5.010635
18,324,9,106.25,4.665795
18,324,9,106.25,4.665795
18,324,9,250,5.521461
18,324,9,156.25,5.051457
18,324,9,300,5.703783
19,361,9,50,3.912023
19,361,9,300,5.703783
19,361,9,350,5.857933
19,361,9,350,5.857933
19,361,9,400,5.991465
19,361,9,500,6.214608
19,361,9,400,5.991465
20,400,9,6.25,1.832582
20,400,9,56.25,4.029806
20,400,9,12.5,2.525729
20,400,9,75,4.317488
20,400,9,56.25,4.029806
22,484,9,500,6.214608
23,529,9,450,6.109248
23,529,9,400,5.991465
23,529,9,600,6.39693
23,529,9,600,6.39693
24,576,9,200,5.298317
24,576,9,150,5.010635
24,576,9,250,5.521461
24,576,9,300,5.703783
25,625,9,200,5.298317
25,625,9,300,5.703783
25,625,9,400,5.991465
25,625,9,150,5.010635
25,625,9,350,5.857933
25,625,9,200,5.298317
25,625,9,350,5.857933
25,625,9,350,5.857933
26,676,9,100,4.60517
26,676,9,100,4.60517
26,676,9,250,5.521461
4,16,11,56.25,4.029806
4,16,11,100,4.60517
4,16,11,100,4.60517
4,16,11,56.25,4.029806
4,16,11,150,5.010635
5,25,11,100,4.60517
5,25,11,175,5.164786
5,25,11,200,5.298317
5,25,11,250,5.521461
5,25,11,250,5.521461
5,25,11,200,5.298317
5,25,11,150,5.010635
5,25,11,200,5.298317
5,25,11,250,5.521461
6,36,11,100,4.60517
6,36,11,100,4.60517
7,49,11,150,5.010635
7,49,11,200,5.298317
7,49,11,200,5.298317
7,49,11,200,5.298317
8,64,11,150,5.010635
8,64,11,100,4.60517
8,64,11,200,5.298317
8,64,11,200,5.298317
9,81,11,106.25,4.665795
9,81,11,250,5.521461
9,81,11,250,5.521461
9,81,11,350,5.857933
9,81,11,300,5.703783
9,81,11,300,5.703783
9,81,11,300,5.703783
10,100,11,100,4.60517
10,100,11,100,4.60517
11,121,11,100,4.60517
12,144,11,150,5.010635
12,144,11,200,5.298317
12,144,11,250,5.521461
12,144,11,250,5.521461
12,144,11,300,5.703783
12,144,11,250,5.521461
13,169,11,150,5.010635
13,169,11,175,5.164786
13,169,11,75,4.317488
13,169,11,300,5.703783
13,169,11,300,5.703783
14,196,11,250,5.521461
14,196,11,300,5.703783
14,196,11,400,5.991465
14,196,11,400,5.991465
15,225,11,6.25,1.832582
15,225,11,156.25,5.051457
15,225,11,300,5.703783
16,256,11,275,5.616771
16,256,11,175,5.164786
16,256,11,125,4.828314
16,256,11,200,5.298317
16,256,11,175,5.164786
16,256,11,350,5.857933
17,289,11,350,5.857933
17,289,11,400,5.991465
17,289,11,900,6.802395
17,289,11,350,5.857933
17,289,11,500,6.214608
17,289,11,900,6.802395
18,324,11,250,5.521461
18,324,11,400,5.991465
18,324,11,500,6.214608
18,324,11,500,6.214608
18,324,11,400,5.991465
19,361,11,250,5.521461
19,361,11,250,5.521461
19,361,11,350,5.857933
20,400,11,350,5.857933
20,400,11,400,5.991465
21,441,11,56.25,4.029806
21,441,11,100,4.60517
21,441,11,56.25,4.029806
21,441,11,350,5.857933
21,441,11,350,5.857933
22,484,11,200,5.298317
22,484,11,175,5.164786
22,484,11,400,5.991465
22,484,11,450,6.109248
22,484,11,400,5.991465
22,484,11,400,5.991465
22,484,11,450,6.109248
23,529,11,125,4.828314
23,529,11,300,5.703783
23,529,11,250,5.521461
23,529,11,400,5.991465
23,529,11,1150,7.047517
24,576,11,75,4.317488
24,576,11,75,4.317488
24,576,11,100,4.60517
24,576,11,250,5.521461
3,9,12,50,3.912023
3,9,12,50,3.912023
3,9,12,6.25,1.832582
3,9,12,150,5.010635
3,9,12,31.25,3.442019
3,9,12,31.25,3.442019
3,9,12,12.5,2.525729
3,9,12,56.25,4.029806
3,9,12,12.5,2.525729
3,9,12,12.5,2.525729
3,9,12,106.25,4.665795
3,9,12,31.25,3.442019
3,9,12,106.25,4.665795
3,9,12,6.25,1.832582
3,9,12,50,3.912023
3,9,12,31.25,3.442019
3,9,12,75,4.317488
3,9,12,31.25,3.442019
3,9,12,31.25,3.442019
3,9,12,75,4.317488
3,9,12,75,4.317488
3,9,12,31.25,3.442019
3,9,12,75,4.317488
3,9,12,150,5.010635
3,9,12,75,4.317488
3,9,12,100,4.60517
3,9,12,100,4.60517
3,9,12,150,5.010635
3,9,12,200,5.298317
3,9,12,100,4.60517
3,9,12,100,4.60517
3,9,12,100,4.60517
3,9,12,200,5.298317
3,9,12,200,5.298317
3,9,12,150,5.010635
3,9,12,150,5.010635
3,9,12,56.25,4.029806
3,9,12,106.25,4.665795
3,9,12,106.25,4.665795
3,9,12,150,5.010635
3,9,12,125,4.828314
3,9,12,106.25,4.665795
3,9,12,150,5.010635
3,9,12,106.25,4.665795
3,9,12,150,5.010635
3,9,12,150,5.010635
3,9,12,106.25,4.665795
3,9,12,150,5.010635
3,9,12,200,5.298317
3,9,12,175,5.164786
3,9,12,156.25,5.051457
4,16,12,50,3.912023
4,16,12,50,3.912023
4,16,12,50,3.912023
4,16,12,150,5.010635
4,16,12,50,3.912023
4,16,12,150,5.010635
4,16,12,56.25,4.029806
4,16,12,150,5.010635
4,16,12,200,5.298317
4,16,12,100,4.60517
4,16,12,50,3.912023
4,16,12,200,5.298317
4,16,12,100,4.60517
4,16,12,50,3.912023
4,16,12,150,5.010635
4,16,12,100,4.60517
4,16,12,200,5.298317
4,16,12,150,5.010635
4,16,12,100,4.60517
4,16,12,200,5.298317
4,16,12,150,5.010635
4,16,12,200,5.298317
4,16,12,200,5.298317
4,16,12,150,5.010635
4,16,12,150,5.010635
4,16,12,100,4.60517
4,16,12,100,4.60517
4,16,12,150,5.010635
4,16,12,100,4.60517
4,16,12,200,5.298317
4,16,12,200,5.298317
4,16,12,200,5.298317
4,16,12,250,5.521461
4,16,12,200,5.298317
4,16,12,200,5.298317
4,16,12,200,5.298317
4,16,12,250,5.521461
4,16,12,200,5.298317
4,16,12,200,5.298317
4,16,12,300,5.703783
4,16,12,300,5.703783
4,16,12,300,5.703783
5,25,12,150,5.010635
5,25,12,150,5.010635
5,25,12,50,3.912023
5,25,12,6.25,1.832582
5,25,12,12.5,2.525729
5,25,12,175,5.164786
5,25,12,200,5.298317
5,25,12,200,5.298317
5,25,12,200,5.298317
5,25,12,50,3.912023
5,25,12,100,4.60517
5,25,12,150,5.010635
5,25,12,100,4.60517
5,25,12,200,5.298317
5,25,12,100,4.60517
5,25,12,200,5.298317
5,25,12,100,4.60517
5,25,12,125,4.828314
5,25,12,150,5.010635
5,25,12,150,5.010635
5,25,12,106.25,4.665795
5,25,12,150,5.010635
5,25,12,200,5.298317
5,25,12,250,5.521461
5,25,12,150,5.010635
5,25,12,200,5.298317
5,25,12,300,5.703783
5,25,12,250,5.521461
5,25,12,200,5.298317
5,25,12,250,5.521461
5,25,12,175,5.164786
5,25,12,250,5.521461
5,25,12,400,5.991465
6,36,12,6.25,1.832582
6,36,12,150,5.010635
6,36,12,50,3.912023
6,36,12,100,4.60517
6,36,12,100,4.60517
6,36,12,12.5,2.525729
6,36,12,156.25,5.051457
6,36,12,6.25,1.832582
6,36,12,12.5,2.525729
6,36,12,31.25,3.442019
6,36,12,125,4.828314
6,36,12,150,5.010635
6,36,12,300,5.703783
6,36,12,100,4.60517
6,36,12,150,5.010635
6,36,12,56.25,4.029806
6,36,12,250,5.521461
6,36,12,100,4.60517
6,36,12,150,5.010635
6,36,12,200,5.298317
6,36,12,56.25,4.029806
6,36,12,150,5.010635
6,36,12,200,5.298317
6,36,12,250,5.521461
6,36,12,150,5.010635
6,36,12,250,5.521461
6,36,12,125,4.828314
6,36,12,200,5.298317
6,36,12,250,5.521461
6,36,12,250,5.521461
6,36,12,200,5.298317
6,36,12,125,4.828314
6,36,12,106.25,4.665795
6,36,12,250,5.521461
6,36,12,200,5.298317
6,36,12,100,4.60517
6,36,12,250,5.521461
6,36,12,300,5.703783
6,36,12,250,5.521461
6,36,12,300,5.703783
6,36,12,200,5.298317
6,36,12,200,5.298317
6,36,12,150,5.010635
6,36,12,200,5.298317
6,36,12,300,5.703783
6,36,12,200,5.298317
6,36,12,200,5.298317
6,36,12,350,5.857933
6,36,12,500,6.214608
7,49,12,50,3.912023
7,49,12,56.25,4.029806
7,49,12,156.25,5.051457
7,49,12,56.25,4.029806
7,49,12,106.25,4.665795
7,49,12,12.5,2.525729
7,49,12,125,4.828314
7,49,12,75,4.317488
7,49,12,50,3.912023
7,49,12,100,4.60517
7,49,12,56.25,4.029806
7,49,12,200,5.298317
7,49,12,250,5.521461
7,49,12,200,5.298317
7,49,12,200,5.298317
7,49,12,200,5.298317
7,49,12,250,5.521461
7,49,12,250,5.521461
7,49,12,106.25,4.665795
7,49,12,250,5.521461
7,49,12,106.25,4.665795
7,49,12,250,5.521461
7,49,12,200,5.298317
7,49,12,106.25,4.665795
