commute,happy_work,income,yeduc
0,4,0,9
0,4,0,12
0,4,0,12
0,2,0,12
0,4,0,12
0,0,0,13
0,0,0,13
0,4,0,14
0,2,12.5,12
0,0,12.5,12
0,0,12.5,12
0,1,12.5,12
0,2,12.5,12
0,2,12.5,13
0,3,12.5,13
0,2,12.5,13
0,2,12.5,13
0,3,12.5,13
0,2,12.5,13
0,2,12.5,13
0,2,12.5,14
0,2,12.5,14
0,2,12.5,15
0,3,12.5,16
0,3,12.5,16
0,0,12.5,16
0,2,12.5,18
0,1,50,12
0,3,50,12
0,1,50,12
0,2,50,12
0,4,50,12
0,2,50,12
0,1,50,12
0,1,50,13
0,2,50,13
0,3,50,13
0,3,50,13
0,1,100,11
0,1,100,12
0,1,100,12
0,2,100,12
0,3,100,12
0,2,100,12
0,3,100,12
0,2,100,12
0,3,100,12
0,3,100,12
0,1,100,13
0,4,100,13
0,3,100,13
0,4,100,13
0,0,100,13
0,3,100,14
0,3,100,14
0,3,100,14
0,1,100,15
0,1,100,15
0,2,100,16
0,2,100,16
0,3,100,16
0,1,200,12
0,3,200,12
0,3,200,12
0,2,200,12
0,2,200,12
0,3,200,12
0,3,200,12
0,0,200,12
0,4,200,13
0,4,200,13
0,4,200,13
0,2,200,13
0,2,200,13
0,2,200,13
0,4,200,14
0,3,200,14
0,3,200,14
0,2,200,14
0,3,200,16
0,3,200,16
0,3,200,16
0,3,200,16
0,3,200,17
0,1,200,17
0,3,300,11
0,2,300,11
0,3,300,11
0,3,300,11
0,0,300,11
0,3,300,12
0,4,300,12
0,2,300,12
0,2,300,12
0,4,300,12
0,0,300,12
0,1,300,12
0,0,300,12
0,2,300,12
0,2,300,13
0,4,300,13
0,2,300,13
0,4,300,13
0,2,300,13
0,3,300,13
0,2,300,13
0,4,300,13
0,2,300,13
0,4,300,13
0,2,300,14
0,3,300,14
0,4,300,15
0,2,300,16
0,3,300,16
0,3,300,16
0,2,300,16
0,3,300,16
0,2,300,16
0,2,300,16
0,0,300,16
0,0,300,16
0,4,400,11
0,0,400,12
0,4,400,12
0,0,400,12
0,1,400,12
0,0,400,12
0,2,400,12
0,3,400,13
0,3,400,13
0,3,400,13
0,3,400,13
0,3,400,13
0,1,400,14
0,3,400,16
0,4,400,16
0,3,400,16
0,3,500,9
0,3,500,9
0,0,500,12
0,0,500,12
0,4,500,12
0,2,500,12
0,3,500,13
0,3,500,13
0,3,500,16
0,4,500,16
0,3,500,16
0,3,500,16
0,3,500,16
0,2,500,16
0,4,700,12
0,4,700,12
0,4,700,12
0,4,700,13
0,3,700,13
0,4,700,16
0,4,1000,12
0,3,1000,14
0,3,1000,16
0,3,1000,16
0,1,1000,18
0,0,1500,16
0,2,2000,13
0,3,2000,16
15,3,0,12
15,2,0,12
15,3,0,12
15,3,0,12
15,3,0,12
15,2,0,12
15,1,0,12
15,2,0,12
15,3,0,12
15,1,0,12
15,3,0,12
15,1,0,12
15,0,0,13
15,0,0,13
15,1,0,13
15,4,0,13
15,3,0,13
15,0,0,14
15,0,0,14
15,2,0,15
15,2,0,15
15,2,0,15
15,2,0,15
15,0,0,16
15,1,12.5,12
15,4,12.5,12
15,3,12.5,12
15,1,12.5,12
15,3,12.5,12
15,3,12.5,12
15,0,12.5,12
