income,minshu,yeduc
0,0,9
0,0,9
0,30,9
0,0,9
0,50,9
0,50,9
0,50,9
0,50,9
0,50,9
0,50,11
0,70,11
0,0,11
0,50,11
0,70,11
0,60,12
0,50,12
0,30,12
0,50,12
0,50,12
0,50,12
0,50,12
0,50,12
0,50,12
0,40,12
0,50,12
0,10,12
0,50,12
0,30,12
0,50,12
0,50,12
0,50,12
0,50,12
0,50,12
0,50,12
0,40,12
0,40,12
0,20,12
0,70,12
0,50,12
0,30,12
0,50,12
0,50,12
0,50,12
0,0,12
0,40,12
0,60,12
0,50,12
0,50,12
0,50,12
0,30,12
0,50,12
0,50,12
0,10,12
0,50,12
0,50,12
0,50,12
0,50,12
0,50,12
0,50,12
0,10,12
0,50,12
0,0,12
0,50,12
0,50,12
0,50,12
0,50,12
0,50,12
0,40,12
0,50,12
0,50,12
0,10,12
0,50,12
0,60,12
0,50,12
0,40,12
0,50,12
0,50,12
0,20,12
0,30,12
0,60,12
0,40,12
0,50,12
0,50,12
0,50,12
0,60,12
0,50,12
0,50,12
0,50,12
0,30,12
0,50,12
0,30,12
0,50,12
0,50,12
0,60,12
0,60,12
0,30,12
0,50,12
0,50,12
0,40,12
0,50,12
0,50,12
0,50,12
0,50,12
0,50,12
0,50,12
0,50,12
0,30,12
0,50,12
0,70,12
0,50,12
0,30,12
0,30,12
0,70,12
0,40,12
0,50,12
0,50,12
0,50,12
0,50,12
0,30,12
0,40,12
0,50,12
0,50,12
0,70,12
0,50,12
0,50,12
0,60,12
0,30,12
0,50,12
0,50,12
0,70,12
0,40,12
0,70,12
0,50,12
0,50,12
0,10,12
0,50,12
0,40,12
0,50,12
0,50,12
0,50,12
0,50,12
0,40,12
0,40,12
0,50,12
0,40,12
0,50,12
0,30,12
0,20,12
0,50,12
0,10,12
0,50,12
0,60,12
0,50,12
0,40,12
0,50,12
0,50,12
0,50,12
0,70,12
0,40,12
0,50,12
0,50,12
0,50,12
0,50,12
0,20,12
0,50,12
0,50,12
0,70,12
0,30,12
0,0,12
0,50,12
0,50,12
0,0,12
0,40,12
0,40,12
0,70,12
0,30,13
0,40,13
0,50,13
0,30,13
0,50,13
0,70,13
0,70,13
0,60,13
0,50,13
0,0,13
0,20,13
0,50,13
0,50,13
0,30,13
0,50,13
0,50,13
0,50,13
0,50,13
0,50,13
0,50,13
0,60,13
0,0,13
0,50,13
0,60,13
0,50,13
0,0,13
0,50,13
0,50,13
0,10,13
0,50,13
0,80,13
0,40,13
0,10,13
0,50,13
0,60,13
0,50,13
0,50,13
0,30,13
0,40,13
0,70,13
0,50,13
0,50,13
0,10,13
0,50,13
0,50,13
0,50,13
0,50,13
0,50,13
0,50,13
0,50,13
0,60,13
0,50,13
0,30,13
0,50,13
0,30,13
0,0,13
0,50,13
0,50,13
0,50,13
0,30,13
0,50,13
0,40,13
0,30,13
0,50,13
0,30,13
0,50,13
0,50,13
0,60,13
0,60,13
0,70,13
0,50,13
0,50,13
0,60,13
0,30,13
0,50,13
0,50,13
0,20,13
0,50,13
0,30,13
0,60,13
0,50,13
0,50,13
0,0,13
0,40,13
0,50,13
0,60,13
0,60,13
0,50,14
0,0,14
0,100,14
0,30,14
0,30,14
0,60,14
0,50,14
0,60,14
0,50,14
0,10,14
0,80,14
0,50,14
0,80,14
0,50,14
0,0,14
0,30,14
0,50,14
0,40,14
0,50,14
0,70,14
0,40,14
0,50,14
0,50,14
0,60,14
0,50,14
0,50,14
0,50,14
0,50,14
0,60,14
0,50,14
0,30,14
0,70,14
0,60,14
0,50,14
0,10,14
0,50,14
0,60,14
0,50,14
0,50,14
0,80,14
0,40,14
0,20,14
0,30,14
0,50,14
0,50,14
0,50,14
0,50,14
0,50,14
0,70,14
0,50,14
0,50,14
0,50,14
0,0,14
0,50,14
0,50,14
0,50,14
0,40,14
0,60,14
0,50,14
0,60,14
0,0,14
0,30,14
0,50,14
0,50,14
0,50,14
0,50,14
0,60,14
0,60,14
0,50,14
0,30,14
0,10,14
0,30,14
0,50,14
0,60,14
0,0,14
0,30,14
0,50,14
0,20,14
0,70,14
0,50,14
0,50,14
0,60,14
0,0,14
0,50,14
0,10,14
0,60,14
0,50,14
0,60,14
0,50,14
0,30,14
0,40,14
0,10,14
0,50,14
0,0,14
0,70,14
0,60,14
0,70,14
0,50,14
0,60,14
0,40,14
0,60,14
0,50,14
0,40,14
0,30,14
0,50,15
0,20,15
0,20,15
0,60,15
0,40,15
0,40,15
0,30,15
0,40,15
0,0,15
0,30,15
0,50,15
0,60,15
0,40,15
0,40,15
0,40,15
0,40,15
0,50,15
0,50,15
0,40,15
0,40,15
0,50,15
0,40,15
0,60,15
0,10,15
0,50,15
0,30,15
0,50,15
0,10,15
0,40,15
0,30,15
0,60,15
0,50,15
0,60,15
0,60,15
0,0,15
0,40,15
0,20,15
0,20,15
0,50,15
0,60,15
0,50,15
0,10,15
0,60,15
0,50,15
0,30,15
0,60,15
0,30,15
0,30,15
