childu6,income_s,mowork15,work
0,0,1,0
0,0,1,0
1,0,0,1
1,0,1,1
0,12.5,0,0
0,12.5,1,1
0,12.5,1,1
1,12.5,1,1
1,12.5,1,0
0,50,0,1
0,50,0,1
0,50,1,1
0,50,1,1
0,50,1,0
1,50,0,0
0,100,1,1
0,100,1,1
0,100,1,1
0,100,1,1
0,100,1,1
0,100,1,1
0,100,1,1
1,100,0,0
1,100,0,0
1,100,0,0
1,100,1,0
1,100,1,1
1,100,1,0
1,100,1,0
1,100,1,1
1,100,1,1
1,100,1,0
0,200,0,0
0,200,0,1
0,200,0,1
0,200,0,1
0,200,0,1
0,200,0,1
0,200,0,1
0,200,0,1
0,200,0,0
0,200,0,1
0,200,0,1
0,200,0,1
0,200,1,0
0,200,1,1
0,200,1,1
0,200,1,0
0,200,1,0
0,200,1,1
0,200,1,1
0,200,1,1
0,200,1,0
0,200,1,0
0,200,1,0
0,200,1,1
0,200,1,1
0,200,1,1
0,200,1,1
0,200,1,1
0,200,1,1
0,200,1,0
0,200,1,1
0,200,1,1
0,200,1,0
0,200,1,1
0,200,1,0
0,200,1,1
0,200,1,1
0,200,1,0
0,200,1,1
0,200,1,1
0,200,1,1
0,200,1,0
0,200,1,0
1,200,0,0
1,200,0,0
1,200,0,0
1,200,0,0
1,200,0,0
1,200,0,1
1,200,0,0
1,200,0,0
1,200,0,1
1,200,0,0
1,200,0,1
1,200,0,0
1,200,0,0
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,0
1,200,1,1
1,200,1,0
1,200,1,0
1,200,1,1
1,200,1,1
1,200,1,0
1,200,1,1
1,200,1,0
1,200,1,1
1,200,1,0
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,0
1,200,1,0
1,200,1,1
1,200,1,1
1,200,1,1
1,200,1,0
1,200,1,1
0,300,0,1
0,300,0,1
0,300,0,1
0,300,0,1
0,300,0,0
0,300,0,1
0,300,0,1
0,300,0,0
0,300,0,0
0,300,0,1
0,300,0,1
0,300,0,1
0,300,0,1
0,300,0,1
0,300,0,1
0,300,0,1
0,300,0,1
0,300,0,1
0,300,0,1
0,300,0,0
0,300,0,1
0,300,0,1
0,300,0,1
0,300,0,1
0,300,0,0
0,300,1,1
0,300,1,0
0,300,1,1
0,300,1,1
0,300,1,0
0,300,1,1
0,300,1,1
0,300,1,1
0,300,1,1
0,300,1,1
0,300,1,0
0,300,1,1
0,300,1,0
0,300,1,1
0,300,1,1
0,300,1,1
0,300,1,1
0,300,1,0
0,300,1,0
0,300,1,1
0,300,1,1
0,300,1,1
0,300,1,0
0,300,1,1
0,300,1,0
0,300,1,1
0,300,1,0
0,300,1,1
0,300,1,1
