commute,female,happy_work,income,yeduc,female_commute,female_yeduc,female_income
0,0,3,300,11,0,0,0
0,0,3,300,11,0,0,0
0,0,3,300,11,0,0,0
0,0,3,300,11,0,0,0
0,1,4,0,12,0,12,0
0,1,2,0,12,0,12,0
0,1,0,0,12,0,12,0
0,1,0,0,12,0,12,0
0,1,3,50,12,0,12,50
0,1,4,50,12,0,12,50
0,1,3,50,12,0,12,50
0,1,1,50,12,0,12,50
0,1,3,50,12,0,12,50
0,0,2,100,12,0,0,0
0,0,3,100,12,0,0,0
0,0,1,100,12,0,0,0
0,0,2,100,12,0,0,0
0,1,3,100,12,0,12,100
0,1,3,100,12,0,12,100
0,1,3,100,12,0,12,100
0,1,3,100,12,0,12,100
0,1,3,100,12,0,12,100
0,0,3,200,12,0,0,0
0,0,3,200,12,0,0,0
0,0,1,200,12,0,0,0
0,0,2,200,12,0,0,0
0,0,3,200,12,0,0,0
0,0,3,200,12,0,0,0
0,0,3,200,12,0,0,0
0,0,2,200,12,0,0,0
0,0,3,300,12,0,0,0
0,0,1,300,12,0,0,0
0,0,3,300,12,0,0,0
0,0,3,300,12,0,0,0
0,0,3,300,12,0,0,0
0,0,3,300,12,0,0,0
0,0,2,300,12,0,0,0
0,0,1,300,12,0,0,0
0,0,2,400,12,0,0,0
0,0,2,400,12,0,0,0
0,0,4,400,12,0,0,0
0,0,4,400,12,0,0,0
0,0,1,400,12,0,0,0
0,0,4,500,12,0,0,0
0,0,0,500,12,0,0,0
0,0,4,500,12,0,0,0
0,0,2,500,12,0,0,0
0,1,2,12.5,13,0,13,12.5
0,1,2,12.5,13,0,13,12.5
0,1,2,12.5,13,0,13,12.5
0,1,2,12.5,13,0,13,12.5
0,1,3,12.5,13,0,13,12.5
0,1,3,12.5,13,0,13,12.5
0,1,2,12.5,13,0,13,12.5
0,1,1,50,13,0,13,50
0,1,2,50,13,0,13,50
0,1,1,50,13,0,13,50
0,1,2,50,13,0,13,50
0,0,4,200,13,0,0,0
0,0,4,200,13,0,0,0
0,0,2,200,13,0,0,0
0,0,0,200,13,0,0,0
0,0,2,300,13,0,0,0
0,0,2,300,13,0,0,0
0,0,2,300,13,0,0,0
0,0,1,300,13,0,0,0
0,0,4,300,13,0,0,0
0,0,2,300,13,0,0,0
0,0,2,300,13,0,0,0
0,0,2,300,13,0,0,0
0,0,3,400,13,0,0,0
0,0,3,400,13,0,0,0
0,0,2,400,13,0,0,0
0,0,3,400,13,0,0,0
0,0,3,400,13,0,0,0
0,1,3,200,14,0,14,200
0,1,3,200,14,0,14,200
0,1,3,200,14,0,14,200
0,1,3,200,14,0,14,200
0,0,0,300,16,0,0,0
0,0,2,300,16,0,0,0
0,0,3,300,16,0,0,0
0,0,3,300,16,0,0,0
0,0,3,300,16,0,0,0
0,0,4,300,16,0,0,0
0,0,4,500,16,0,0,0
0,0,3,500,16,0,0,0
