exper,exper2,mbirth,moyeduc,payeduc,sibs,yeduc,lincome
19,361,6,9,9,1,9,5.7037826
19,361,4,12,12,1,9,5.9914646
19,361,1,9,9,1,9,6.2146082
19,361,9,9,9,1,9,6.2146082
23,529,8,9,9,3,9,6.3099184
23,529,11,12,13,2,9,6.3099184
23,529,3,9,9,2,9,6.1092477
23,529,6,9,9,6,9,6.3969297
9,81,10,13,13,1,11,5.2983174
9,81,11,12,12,2,11,5.521461
9,81,11,12,12,0,11,5.857933
12,144,9,12,12,2,11,5.521461
12,144,6,9,9,4,11,5.7037826
12,144,1,13,12,2,11,5.521461
17,289,10,9,9,1,11,5.2983174
17,289,3,12,9,2,11,5.9914646
17,289,11,12,12,1,11,6.856462
18,324,12,12,12,2,11,5.7037826
18,324,8,9,9,2,11,6.2146082
18,324,9,12,12,1,11,6.2146082
18,324,8,16,16,1,11,6.2146082
7,49,4,12,12,2,12,5.2983174
7,49,7,9,9,1,12,5.857933
7,49,1,12,14,2,12,5.7037826
7,49,7,14,12,0,12,5.521461
8,64,6,12,12,2,12,5.521461
8,64,6,9,9,0,12,5.7037826
8,64,11,16,16,1,12,5.7037826
8,64,11,12,9,2,12,6.2146082
9,81,3,12,12,2,12,5.7037826
9,81,11,9,9,1,12,5.7037826
9,81,3,12,12,2,12,6.3099184
9,81,1,12,12,3,12,5.857933
9,81,1,12,14,3,12,5.7037826
9,81,7,9,9,1,12,6.2146082
10,100,1,12,12,1,12,6.3969297
10,100,4,12,12,4,12,5.7037826
10,100,3,14,16,1,12,5.857933
10,100,1,9,9,1,12,5.7037826
10,100,10,9,9,4,12,5.7037826
10,100,6,12,12,1,12,5.9914646
10,100,2,12,12,3,12,6.9077554
11,121,3,12,12,1,12,5.857933
11,121,3,12,12,2,12,5.857933
11,121,2,12,12,3,12,5.857933
11,121,10,12,14,1,12,5.7037826
11,121,10,9,9,2,12,5.9914646
11,121,6,12,12,1,12,5.9914646
11,121,12,12,12,1,12,5.857933
11,121,3,12,12,2,12,5.857933
11,121,2,12,16,1,12,5.857933
12,144,12,9,12,0,12,5.9914646
12,144,6,12,12,0,12,5.9914646
12,144,1,9,9,1,12,5.857933
12,144,12,12,9,1,12,5.9914646
12,144,7,9,12,1,12,5.9914646
12,144,2,12,12,2,12,6.1092477
13,169,5,12,12,1,12,5.0106354
13,169,5,12,12,1,12,5.0106354
13,169,9,12,12,1,12,5.521461
13,169,11,12,9,2,12,5.7037826
13,169,1,12,9,1,12,6.2146082
